id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00000007,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000061,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00000070,12,12,12,12,0,0,1,2,,,0,6,0.0,1,6,0.16666666666666666,False,0,True,True
00000073,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00000102,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000119,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00000123,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000126,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00000131,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000132,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000133,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000134,4,4,4,4,1,2,1,2,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00000144,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000168,9,9,9,9,5,4,5,4,1.0,1.0,16,16,1.0,20,20,1.0,False,0,True,True
00000172,16,16,16,16,8,8,8,8,1.0,1.0,24,24,1.0,32,32,1.0,False,0,True,True
00000190,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00000251,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000257,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000272,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000329,6,6,6,6,4,2,4,2,1.0,1.0,7,7,1.0,8,8,1.0,False,0,True,True
00000330,14,13,14,13,4,6,6,5,1.5,0.8333333333333334,4,4,1.0,8,8,1.0,False,1,True,True
00000346,5,5,5,5,2,3,2,3,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00000348,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00000356,12,12,12,12,4,0,4,0,1.0,,18,18,1.0,0,0,,False,0,True,True
00000363,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00000386,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000392,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00000413,6,6,6,6,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00000418,9,9,9,9,5,3,5,3,1.0,1.0,13,13,1.0,15,15,1.0,False,0,True,True
