id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00000093,0,1,0,0,0,0,0,0,,,0,0,,0,0,,False,1,True,True
00000797,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00000915,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00001698,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00001907,8,9,8,8,3,3,3,3,1.0,1.0,0,0,,0,0,,False,1,True,True
00001926,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00002221,6,6,6,6,3,3,3,3,1.0,1.0,6,6,1.0,9,9,1.0,False,0,True,True
00002718,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00003166,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00003247,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00003390,15,18,15,17,6,9,4,8,0.6666666666666666,0.8888888888888888,0,0,,0,0,,False,3,True,True
00003877,6,6,6,6,3,3,3,3,1.0,1.0,6,6,1.0,9,9,1.0,False,0,True,True
00003901,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00004596,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00005082,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00005083,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00005144,12,12,12,12,6,6,6,6,1.0,1.0,30,30,1.0,36,36,1.0,False,0,True,True
00005247,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00005418,6,6,6,6,2,2,2,2,1.0,1.0,0,0,,2,2,1.0,False,0,True,True
00005545,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00005807,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00005879,5,5,5,5,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00005906,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00005957,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00006004,28,26,28,28,14,14,8,2,0.5714285714285714,0.14285714285714285,0,0,,0,0,,False,2,True,True
00006221,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00006345,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00006481,24,24,24,24,12,12,12,12,1.0,1.0,12,12,1.0,24,24,1.0,False,0,True,True
00006584,24,0,24,23,12,12,0,0,0.0,0.0,0,0,,0,0,,False,0,True,False
00006588,6,5,6,5,2,4,2,3,1.0,0.75,1,1,1.0,0,0,,False,1,True,True
00006807,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00006912,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00007186,8,8,8,8,2,4,2,4,1.0,1.0,7,7,1.0,8,8,1.0,False,0,True,True
00007269,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00007551,13,14,13,14,4,6,5,8,1.25,1.3333333333333333,6,9,0.6666666666666666,12,12,1.0,False,1,True,True
00007648,12,13,12,13,6,6,6,7,1.0,1.1666666666666667,6,6,1.0,12,12,1.0,False,1,True,True
00008381,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00008597,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00008841,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00008907,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00008914,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00009016,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00009051,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00009254,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00009547,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00009559,20,20,20,20,8,12,5,9,0.625,0.75,24,46,0.5217391304347826,29,48,0.6041666666666666,False,0,True,True
00009683,2,2,2,2,0,1,0,2,,2.0,0,0,,0,0,,False,0,True,True
00009834,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00010085,6,6,6,6,3,3,2,2,0.6666666666666666,0.6666666666666666,2,6,0.3333333333333333,4,9,0.4444444444444444,False,0,True,True
00010111,1,1,1,1,1,0,1,0,1.0,,0,0,,0,0,,False,0,True,True
00010314,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00010361,6,6,6,6,3,3,3,3,1.0,1.0,6,6,1.0,9,9,1.0,False,0,True,True
00010397,6,6,6,6,2,1,2,1,1.0,1.0,2,2,1.0,2,2,1.0,False,0,True,True
